label,n,base_rate,auc_roc,auc_pr,brier,logloss,f1,precision,recall,accuracy,mcc,kappa,pred_mean,pred_std,variant,split,kind,run_id,regime_boundary,n_features
peacetime/test,8544,0.6725187265917603,0.7311562047576622,0.8678558232170832,0.19853707555434977,0.5743576905657141,0.7099550540307927,0.7879431118658459,0.6460146188652977,0.6450140449438202,0.2726712107384424,0.2639293825368981,0.5695253053152395,0.20475506098003177,peacetime,test,native,V_20260519_033412,2022-10-12,27
wartime/test,54858,0.6094097488060083,0.7060422941180904,0.7925529699753869,0.21153096384784184,0.6090946462202591,0.6969289432463649,0.7397554749428994,0.6587897460440908,0.6508257683473696,0.2910514006113571,0.28834959526023574,0.5508679312199447,0.17835584627039508,wartime,test,native,V_20260519_033412,2022-10-12,27
pooled/test_wartime,54858,0.6094097488060083,0.6769212062020858,0.7415683088165792,0.22313977072013097,0.6479679426141075,0.6996548844099154,0.7393259175381336,0.6640244084831444,0.6525757410040468,0.2928132308271578,0.29045104116114584,0.5650141843818327,0.18279168252872022,pooled,test_wartime,native,V_20260519_033412,2022-10-12,27
pooled/test_peacetime,10042,0.6619199362676758,0.692736643791379,0.8431399148707783,0.20641810457297374,0.6009641237961194,0.7881977071978952,0.6752898239587806,0.946442003911539,0.6633140808603863,0.10124222406493871,0.06862268692573148,0.6728832473858246,0.17404711625973815,pooled,test_peacetime,native,V_20260519_033412,2022-10-12,27
peacetime_on_wartime/test,54858,0.6094097488060083,0.3788172563661818,0.5692615121311985,0.46573991517277896,2.2341739124263067,0.1985350713842334,0.5841613091759205,0.1195896024647782,0.4115899230741186,-0.019538454215458006,-0.010822544689917057,0.26031228757449226,0.2344032265269844,peacetime,transfer_wartime_test,transfer,V_20260519_033412,2022-10-12,27
wartime_on_peacetime/test,8544,0.6725187265917603,0.6377186715586962,0.8135880796731281,0.23297823905182308,0.7199120638040417,0.8003475993917011,0.685352846335111,0.9617124956491472,0.6773174157303371,0.11196865270511791,0.06982644990345177,0.7675770827966953,0.1807809176462544,wartime,transfer_peacetime_test,transfer,V_20260519_033412,2022-10-12,27
