label,n,base_rate,auc_roc,auc_pr,brier,logloss,f1,precision,recall,accuracy,mcc,kappa,pred_mean,pred_std,variant,split,kind,run_id,regime_boundary,n_features
peacetime/test,85382,0.671628680518142,0.7293736550743876,0.8662479350512533,0.20009599075142367,0.5789129962475026,0.707691121328668,0.7911763438079228,0.6401429941581654,0.6448314633060832,0.2777156135098937,0.26784004538656303,0.5668140611243373,0.20586334009259616,peacetime,test,native,V_20260519_050419,2022-10-12,27
wartime/test,548488,0.6133042108487332,0.7071981648829229,0.7963979998628682,0.21117324343501576,0.6082681635502244,0.6901788329021475,0.7572149265282793,0.6340467909271976,0.6508784148422573,0.30362527922885163,0.29744412081423954,0.5494695837311996,0.18020561621650166,wartime,test,native,V_20260519_050419,2022-10-12,27
pooled/test_wartime,548488,0.6133042108487332,0.6751786070343612,0.7428757623056699,0.22369026792307756,0.6496666033350864,0.6987379685226697,0.7455577018375995,0.6574511727459199,0.6523041525065271,0.2947306285002601,0.29149863122990827,0.5631679816473714,0.18430520390828067,pooled,test_wartime,native,V_20260519_050419,2022-10-12,27
pooled/test_peacetime,100185,0.6607076907720717,0.6862185429293204,0.8398921946131848,0.2069071095982578,0.6017535639728812,0.7866386892496356,0.6733166277706678,0.9458250872448748,0.6610071367969257,0.09568899745712793,0.06458380824786258,0.6705330188872228,0.17380734128392847,pooled,test_peacetime,native,V_20260519_050419,2022-10-12,27
peacetime_on_wartime/test,548488,0.6133042108487332,0.3767857014807068,0.5715805127297149,0.46789608668835253,2.2556714481727096,0.20436542388632778,0.5762637059513137,0.12420702161181961,0.40685849097883636,-0.029685369610211336,-0.016787247483444734,0.26505071131297053,0.23846176392870624,peacetime,transfer_wartime_test,transfer,V_20260519_050419,2022-10-12,27
wartime_on_peacetime/test,85382,0.671628680518142,0.6376710638337162,0.81334553059834,0.23399521610926152,0.724975088119289,0.7990204247241322,0.6834915834097727,0.9615485221030604,0.6751188775151671,0.10456643886273262,0.06454834462859493,0.7672487795087374,0.18133160643955315,wartime,transfer_peacetime_test,transfer,V_20260519_050419,2022-10-12,27
